[2017-11-04 16:00:01] Scraping start
[2017-11-04 16:00:01] Connected Elasticsearch server
[2017-11-04 16:00:02] Opened PhantomJS webdriver
[2017-11-04 16:00:03] Complete to bring blogs seed page
[2017-11-04 16:00:04] Complete to move to travel category
[2017-11-04 16:00:04] Complete to move to domestic travel page
[2017-11-04 16:00:04] Start to parse each posts
[2017-11-04 16:00:04] Click the page - 1page
[2017-11-04 16:00:06] Complate to parse - anndam_221132135561
[2017-11-04 16:00:06] Error - Already exists document
[2017-11-04 16:00:06] Complate to parse - 0114977635_221132289202
[2017-11-04 16:00:06] Error - Already exists document
[2017-11-04 16:00:07] Complate to parse - daichung_221132360538
[2017-11-04 16:00:07] Error - Already exists document
[2017-11-04 16:00:07] Complate to parse - turpu_221132270938
[2017-11-04 16:00:07] Error - Already exists document
[2017-11-04 16:00:07] Complate to parse - 8302yang_221132263298
[2017-11-04 16:00:07] Error - Already exists document
[2017-11-04 16:00:07] Complate to parse - koreamoringa_221132300803
[2017-11-04 16:00:07] Error - Already exists document
[2017-11-04 16:00:08] Complate to parse - deux300_221123641532
[2017-11-04 16:00:08] Error - Already exists document
[2017-11-04 16:00:08] Complate to parse - toga33_221129793862
[2017-11-04 16:00:08] Error - Already exists document
[2017-11-04 16:00:08] Complate to parse - babo0547_221132345839
[2017-11-04 16:00:08] Error - Already exists document
[2017-11-04 16:00:08] Complate to parse - ejejucom_221132423375
[2017-11-04 16:00:09] Complate to percolate - ejejucom_221132423375
[2017-11-04 16:00:09] Click the page - 2page
[2017-11-04 16:00:10] Complate to parse - jcjkks_221127488959
[2017-11-04 16:00:10] Error - Already exists document
[2017-11-04 16:00:11] Complate to parse - babtol2000_221132295216
[2017-11-04 16:00:11] Error - Already exists document
[2017-11-04 16:00:11] Complate to parse - bolikeme_221131318828
[2017-11-04 16:00:11] Error - Already exists document
[2017-11-04 16:00:11] Complate to parse - kji206_221132088765
[2017-11-04 16:00:11] Error - Already exists document
[2017-11-04 16:00:11] Complate to parse - sseotaiji_221132255438
[2017-11-04 16:00:11] Error - Already exists document
[2017-11-04 16:00:11] Complate to parse - sky047000_221132254423
[2017-11-04 16:00:11] Error - Already exists document
[2017-11-04 16:00:12] Complate to parse - alfyoun_221131768985
[2017-11-04 16:00:12] Error - Already exists document
[2017-11-04 16:00:12] Complate to parse - mjda20_221132246005
[2017-11-04 16:00:12] Error - Already exists document
[2017-11-04 16:00:12] Complate to parse - oblove3_221132404420
[2017-11-04 16:00:12] Error - Already exists document
[2017-11-04 16:00:12] Complate to parse - junjuly4_221132365926
[2017-11-04 16:00:12] Error - Already exists document
[2017-11-04 16:00:12] Click the page - 3page
[2017-11-04 16:00:14] Complate to parse - hanarin0730_221132218936
[2017-11-04 16:00:14] Error - Already exists document
[2017-11-04 16:00:14] Complate to parse - kinogirl100_221132318995
[2017-11-04 16:00:14] Error - Already exists document
[2017-11-04 16:00:14] Complate to parse - autopeed0050_221131739795
[2017-11-04 16:00:14] Error - Already exists document
[2017-11-04 16:00:15] Complate to parse - mina860527_221132356748
[2017-11-04 16:00:15] Error - Already exists document
[2017-11-04 16:00:15] Complate to parse - kingcapper_221129417868
[2017-11-04 16:00:15] Error - Already exists document
[2017-11-04 16:00:15] Complate to parse - junhyuk_abba_221132300908
[2017-11-04 16:00:15] Error - Already exists document
[2017-11-04 16:00:15] Complate to parse - daesunjujo_221131771698
[2017-11-04 16:00:15] Error - Already exists document
[2017-11-04 16:00:15] Complate to parse - jhgeel_221132278470
[2017-11-04 16:00:15] Error - Already exists document
[2017-11-04 16:00:15] Complate to parse - qhadldhaus98_221132276228
[2017-11-04 16:00:15] Error - Already exists document
[2017-11-04 16:00:16] Complate to parse - suheeryu_221119236111
[2017-11-04 16:00:16] Error - Already exists document
[2017-11-04 16:00:16] Click the page - 4page
[2017-11-04 16:00:18] Complate to parse - ttpp2002_221131019130
[2017-11-04 16:00:18] Error - Already exists document
[2017-11-04 16:00:18] Complate to parse - tastydish_221132261113
[2017-11-04 16:00:18] Error - Already exists document
[2017-11-04 16:00:18] Complate to parse - tg0607_221131129437
[2017-11-04 16:00:18] Error - Already exists document
[2017-11-04 16:00:18] Complate to parse - you1620_221132054868
[2017-11-04 16:00:18] Error - Already exists document
[2017-11-04 16:00:18] Complate to parse - 1006hjy_221131407060
[2017-11-04 16:00:18] Error - Already exists document
[2017-11-04 16:00:19] Complate to parse - ichmount_221131593864
[2017-11-04 16:00:19] Error - Already exists document
[2017-11-04 16:00:19] Complate to parse - kby8478_221132042952
[2017-11-04 16:00:19] Error - Already exists document
[2017-11-04 16:00:19] Complate to parse - mss2mking_221132400272
[2017-11-04 16:00:19] Error - Already exists document
[2017-11-04 16:00:19] Complate to parse - sun751213_221132391060
[2017-11-04 16:00:19] Error - Already exists document
[2017-11-04 16:00:19] Complate to parse - sirenj2813_221132342317
[2017-11-04 16:00:19] Error - Already exists document
[2017-11-04 16:00:19] Click the page - 5page
[2017-11-04 16:00:21] Complate to parse - dingdong1233_221132307059
[2017-11-04 16:00:21] Error - Already exists document
[2017-11-04 16:00:21] Complate to parse - hwangyul9178_221130594806
[2017-11-04 16:00:21] Error - Already exists document
[2017-11-04 16:00:22] Complate to parse - lyu1388_221131214058
[2017-11-04 16:00:22] Error - Already exists document
[2017-11-04 16:00:22] Complate to parse - tjfcnzkcnzk_221131347013
[2017-11-04 16:00:22] Error - Already exists document
[2017-11-04 16:00:22] Complate to parse - mss2mking_221132250946
[2017-11-04 16:00:22] Error - Already exists document
[2017-11-04 16:00:22] Complate to parse - hp0210_221132051892
[2017-11-04 16:00:22] Error - Already exists document
[2017-11-04 16:00:22] Complate to parse - kuj681_221131427381
[2017-11-04 16:00:22] Error - Already exists document
[2017-11-04 16:00:23] Complate to parse - lovelyhoya07_221132183125
[2017-11-04 16:00:23] Error - Already exists document
[2017-11-04 16:00:23] Complate to parse - namhaestorys_221132270932
[2017-11-04 16:00:23] Error - Already exists document
[2017-11-04 16:00:23] Complate to parse - bk85219_221129736180
[2017-11-04 16:00:23] Error - Already exists document
[2017-11-04 16:00:23] Click the page - 6page
[2017-11-04 16:00:25] Complate to parse - agant5548_221132161439
[2017-11-04 16:00:25] Error - Already exists document
[2017-11-04 16:00:25] Complate to parse - dropy_221132327234
[2017-11-04 16:00:25] Error - Already exists document
[2017-11-04 16:00:25] Complate to parse - yko53_221132248498
[2017-11-04 16:00:25] Error - Already exists document
[2017-11-04 16:00:26] Complate to parse - hhocho65_221131410506
[2017-11-04 16:00:26] Error - Already exists document
[2017-11-04 16:00:26] Complate to parse - brain7455_221132259411
[2017-11-04 16:00:26] Error - Already exists document
[2017-11-04 16:00:26] Complate to parse - jandb86_221132413905
[2017-11-04 16:00:26] Error - Already exists document
[2017-11-04 16:00:26] Complate to parse - kcgcg92_221131377528
[2017-11-04 16:00:26] Error - Already exists document
[2017-11-04 16:00:26] Complate to parse - naemoya_221132318740
[2017-11-04 16:00:26] Error - Already exists document
[2017-11-04 16:00:26] Complate to parse - dental3838_221132304840
[2017-11-04 16:00:26] Error - Already exists document
[2017-11-04 16:00:27] Complate to parse - sjmcdib1_221132292890
[2017-11-04 16:00:27] Error - Already exists document
[2017-11-04 16:00:27] Click the page - 7page
[2017-11-04 16:00:28] Complate to parse - so_happy_sb_221132280710
[2017-11-04 16:00:28] Error - Already exists document
[2017-11-04 16:00:29] Complate to parse - supergunman_221131299432
[2017-11-04 16:00:29] Error - Already exists document
[2017-11-04 16:00:29] Complate to parse - queen227_221132139600
[2017-11-04 16:00:29] Error - Already exists document
[2017-11-04 16:00:29] Complate to parse - didirmsel515_221131813661
[2017-11-04 16:00:29] Error - Already exists document
[2017-11-04 16:00:29] Complate to parse - pyj_5004_221132228978
[2017-11-04 16:00:29] Error - Already exists document
[2017-11-04 16:00:29] Complate to parse - sysjej0327_221132416606
[2017-11-04 16:00:30] Complate to percolate - sysjej0327_221132416606
[2017-11-04 16:00:30] Complate to parse - jsn920_221132413601
[2017-11-04 16:00:30] Complate to percolate - jsn920_221132413601
[2017-11-04 16:00:31] Complate to parse - park-yeji_221132368284
[2017-11-04 16:00:31] Error - Already exists document
[2017-11-04 16:00:31] Complate to parse - uggang2_221132076136
[2017-11-04 16:00:31] Error - Already exists document
[2017-11-04 16:00:32] Complate to parse - chamomile_t_221130262342
[2017-11-04 16:00:32] Error - Already exists document
[2017-11-04 16:00:32] Click the page - 8page
[2017-11-04 16:00:34] Complate to parse - khjins5918_221132295758
[2017-11-04 16:00:34] Error - Already exists document
[2017-11-04 16:00:34] Complate to parse - ivory27_221132289554
[2017-11-04 16:00:34] Error - Already exists document
[2017-11-04 16:00:35] Complate to parse - kil_bong_221132285212
[2017-11-04 16:00:35] Error - Already exists document
[2017-11-04 16:00:35] Complate to parse - tcacyc_221132064607
[2017-11-04 16:00:35] Error - Already exists document
[2017-11-04 16:00:35] Complate to parse - iloveknp_221131635082
[2017-11-04 16:00:35] Error - Already exists document
[2017-11-04 16:00:35] Complate to parse - jongsulim_221131663815
[2017-11-04 16:00:35] Error - Already exists document
[2017-11-04 16:00:35] Complate to parse - lol_awesome_221132000362
[2017-11-04 16:00:35] Error - Already exists document
[2017-11-04 16:00:36] Complate to parse - jvj24601_221132227928
[2017-11-04 16:00:36] Error - Already exists document
[2017-11-04 16:00:36] Complate to parse - smoodias_221132335467
[2017-11-04 16:00:36] Error - Already exists document
[2017-11-04 16:00:36] Complate to parse - dqtwdqtw_221132319508
[2017-11-04 16:00:36] Error - Already exists document
[2017-11-04 16:00:36] Click the page - 9page
[2017-11-04 16:00:38] Complate to parse - howl0113_221132291146
[2017-11-04 16:00:38] Error - Already exists document
[2017-11-04 16:00:38] Complate to parse - skyung0512_221105323492
[2017-11-04 16:00:38] Error - Already exists document
[2017-11-04 16:00:38] Complate to parse - kopml_221132237602
[2017-11-04 16:00:38] Error - Already exists document
[2017-11-04 16:00:38] Complate to parse - lksemilove_221132405829
[2017-11-04 16:00:38] Error - Already exists document
[2017-11-04 16:00:39] Complate to parse - namhaestorys_221132365118
[2017-11-04 16:00:39] Error - Already exists document
[2017-11-04 16:00:39] Complate to parse - m99446h_221131719733
[2017-11-04 16:00:39] Error - Already exists document
[2017-11-04 16:00:39] Complate to parse - namhaestorys_221132325333
[2017-11-04 16:00:39] Error - Already exists document
[2017-11-04 16:00:39] Complate to parse - alll89_221132323464
[2017-11-04 16:00:39] Error - Already exists document
[2017-11-04 16:00:39] Complate to parse - imejicom_221132322642
[2017-11-04 16:00:39] Error - Already exists document
[2017-11-04 16:00:40] Complate to parse - lightsout_221132227685
[2017-11-04 16:00:40] Error - Already exists document
[2017-11-04 16:00:40] Click the page - 10page
[2017-11-04 16:00:42] Complate to parse - hari33_221132314855
[2017-11-04 16:00:42] Error - Already exists document
[2017-11-04 16:00:42] Complate to parse - ksojune_221132280748
[2017-11-04 16:00:42] Error - Already exists document
[2017-11-04 16:00:42] Complate to parse - vprettyv_221131850372
[2017-11-04 16:00:42] Error - Already exists document
[2017-11-04 16:00:42] Complate to parse - osn1201_221132267106
[2017-11-04 16:00:42] Error - Already exists document
[2017-11-04 16:00:42] Complate to parse - bada3347_221132260976
[2017-11-04 16:00:42] Error - Already exists document
[2017-11-04 16:00:42] Complate to parse - micky0928_221125715407
[2017-11-04 16:00:42] Error - Already exists document
[2017-11-04 16:00:43] Complate to parse - jeju8253_221132254708
[2017-11-04 16:00:43] Error - Already exists document
[2017-11-04 16:00:43] Complate to parse - sanaella_221132000896
[2017-11-04 16:00:43] Error - Already exists document
[2017-11-04 16:00:43] Complate to parse - goldilockss_221132414393
[2017-11-04 16:00:43] Complate to percolate - goldilockss_221132414393
[2017-11-04 16:00:43] Complate to parse - seoyh1047_221132397870
[2017-11-04 16:00:43] Error - Already exists document
[2017-11-04 16:00:43] Click the next
[2017-11-04 16:00:43] Click the page - 11page
[2017-11-04 16:00:45] Complate to parse - jina0676_221132179881
[2017-11-04 16:00:45] Error - Already exists document
[2017-11-04 16:00:45] Complate to parse - onsili_221132013519
[2017-11-04 16:00:45] Error - Already exists document
[2017-11-04 16:00:46] Complate to parse - shinbi63_221132278743
[2017-11-04 16:00:46] Error - Already exists document
[2017-11-04 16:00:46] Complate to parse - 2000happy__221132131384
[2017-11-04 16:00:46] Error - Already exists document
[2017-11-04 16:00:46] Complate to parse - cyberbinpol_221132424159
[2017-11-04 16:00:46] Complate to percolate - cyberbinpol_221132424159
[2017-11-04 16:00:46] Complate to parse - shj8595_221132403988
[2017-11-04 16:00:46] Error - Already exists document
[2017-11-04 16:00:47] Complate to parse - dongtwo_221132383643
[2017-11-04 16:00:47] Error - Already exists document
[2017-11-04 16:00:47] Complate to parse - blis2s2_221129417607
[2017-11-04 16:00:47] Error - Already exists document
[2017-11-04 16:00:47] Complate to parse - narae2734_221132322059
[2017-11-04 16:00:47] Error - Already exists document
[2017-11-04 16:00:47] Complate to parse - jhyang58_221132320324
[2017-11-04 16:00:47] Error - Already exists document
[2017-11-04 16:00:47] Click the page - 12page
[2017-11-04 16:00:49] Complate to parse - idioe48_221131713781
[2017-11-04 16:00:49] Complate to percolate - idioe48_221131713781
[2017-11-04 16:00:50] Complate to parse - 1429son_221132307129
[2017-11-04 16:00:50] Error - Already exists document
[2017-11-04 16:00:50] Complate to parse - skysolfa_221132342891
[2017-11-04 16:00:50] Error - Already exists document
[2017-11-04 16:00:50] Complate to parse - jjjaaang7_221132332673
[2017-11-04 16:00:50] Error - Already exists document
[2017-11-04 16:00:50] Complate to parse - 522bms_221132218759
[2017-11-04 16:00:50] Error - Already exists document
[2017-11-04 16:00:50] Complate to parse - sonvely89_221127908498
[2017-11-04 16:00:50] Error - Already exists document
[2017-11-04 16:00:50] Complate to parse - bokda88_221132290045
[2017-11-04 16:00:50] Error - Already exists document
[2017-11-04 16:00:51] Complate to parse - saddy237_221132048123
[2017-11-04 16:00:51] Error - Already exists document
[2017-11-04 16:00:51] Complate to parse - yunmisense_221130010414
[2017-11-04 16:00:51] Error - Already exists document
[2017-11-04 16:00:51] Complate to parse - chae3385_221132012763
[2017-11-04 16:00:51] Error - Already exists document
[2017-11-04 16:00:51] Click the page - 13page
[2017-11-04 16:00:53] Complate to parse - sexysharon_221132174707
[2017-11-04 16:00:53] Error - Already exists document
[2017-11-04 16:00:53] Complate to parse - elvayu120_221132342820
[2017-11-04 16:00:53] Error - Already exists document
[2017-11-04 16:00:53] Complate to parse - gijoe7_221132068542
[2017-11-04 16:00:53] Error - Already exists document
[2017-11-04 16:00:53] Complate to parse - au9999_221132256262
[2017-11-04 16:00:53] Error - Already exists document
[2017-11-04 16:00:54] Complate to parse - iwish2000_221132193804
[2017-11-04 16:00:54] Error - Already exists document
[2017-11-04 16:00:54] Complate to parse - kdhnim_221131084752
[2017-11-04 16:00:54] Error - Already exists document
[2017-11-04 16:00:54] Complate to parse - buin0326_221131665337
[2017-11-04 16:00:54] Error - Already exists document
[2017-11-04 16:00:54] Complate to parse - tjsal2772_221132206990
[2017-11-04 16:00:54] Complate to percolate - tjsal2772_221132206990
