[2017-11-08 06:00:01] Scraping start
[2017-11-08 06:00:01] Connected Elasticsearch server
[2017-11-08 06:00:02] Opened PhantomJS webdriver
[2017-11-08 06:00:03] Complete to bring blogs seed page
[2017-11-08 06:00:04] Complete to move to travel category
[2017-11-08 06:00:04] Complete to move to domestic travel page
[2017-11-08 06:00:04] Start to parse each posts
[2017-11-08 06:00:04] Click the page - 1page
[2017-11-08 06:00:06] Complate to parse - scpark1214_221134743522
[2017-11-08 06:00:06] Error - Already exists document
[2017-11-08 06:00:06] Complate to parse - qnfjqekqnfjdnj_221134840496
[2017-11-08 06:00:06] Error - Already exists document
[2017-11-08 06:00:06] Complate to parse - oblove3_221134869690
[2017-11-08 06:00:07] Error - Already exists document
[2017-11-08 06:00:07] Complate to parse - wjsurdpqhk_221134728907
[2017-11-08 06:00:07] Error - Already exists document
[2017-11-08 06:00:07] Complate to parse - ybg_baram_221134893090
[2017-11-08 06:00:07] Error - Already exists document
[2017-11-08 06:00:07] Complate to parse - bmcg1_221134754848
[2017-11-08 06:00:07] Error - Already exists document
[2017-11-08 06:00:07] Complate to parse - choikoil_221134750804
[2017-11-08 06:00:07] Error - Already exists document
[2017-11-08 06:00:08] Complate to parse - aurtkfwkqdl_221134826385
[2017-11-08 06:00:08] Error - Already exists document
[2017-11-08 06:00:08] Complate to parse - hexeph_221134772305
[2017-11-08 06:00:08] Error - Already exists document
[2017-11-08 06:00:08] Complate to parse - lyu1388_221134717700
[2017-11-08 06:00:08] Error - Already exists document
[2017-11-08 06:00:08] Click the page - 2page
[2017-11-08 06:00:10] Complate to parse - dptmfdl3135_221134984334
[2017-11-08 06:00:10] Error - Already exists document
[2017-11-08 06:00:10] Complate to parse - dailytalk_hy_221134956249
[2017-11-08 06:00:10] Error - Already exists document
[2017-11-08 06:00:10] Complate to parse - lovtrout_221134859816
[2017-11-08 06:00:10] Error - Already exists document
[2017-11-08 06:00:10] Complate to parse - jirisan72_221134749251
[2017-11-08 06:00:10] Error - Already exists document
[2017-11-08 06:00:11] Complate to parse - kissi3oy_221134779374
[2017-11-08 06:00:11] Error - Already exists document
[2017-11-08 06:00:11] Complate to parse - cyberbinpol_221134776563
[2017-11-08 06:00:11] Error - Already exists document
[2017-11-08 06:00:11] Complate to parse - joon-ri-1215_221134719323
[2017-11-08 06:00:11] Error - Already exists document
[2017-11-08 06:00:11] Complate to parse - bnbmoh_221134657447
[2017-11-08 06:00:11] Error - Already exists document
[2017-11-08 06:00:12] Complate to parse - trueka20_221134914945
[2017-11-08 06:00:12] Error - Already exists document
[2017-11-08 06:00:12] Complate to parse - canvaslab_221134793927
[2017-11-08 06:00:12] Error - Already exists document
[2017-11-08 06:00:12] Click the page - 3page
[2017-11-08 06:00:14] Complate to parse - juomsook21_221135011966
[2017-11-08 06:00:14] Error - Already exists document
[2017-11-08 06:00:14] Complate to parse - 2_eunjee_221134937709
[2017-11-08 06:00:14] Error - Already exists document
[2017-11-08 06:00:14] Complate to parse - candyra9_221134922238
[2017-11-08 06:00:14] Error - Already exists document
[2017-11-08 06:00:14] Complate to parse - sinymi77_221134918841
[2017-11-08 06:00:14] Error - Already exists document
[2017-11-08 06:00:14] Complate to parse - ailee06_221134913628
[2017-11-08 06:00:14] Error - Already exists document
[2017-11-08 06:00:15] Complate to parse - you1620_221134810134
[2017-11-08 06:00:15] Error - Already exists document
[2017-11-08 06:00:15] Complate to parse - woo4132_221134798646
[2017-11-08 06:00:15] Error - Already exists document
[2017-11-08 06:00:15] Complate to parse - congcookin_221134779975
[2017-11-08 06:00:15] Error - Already exists document
[2017-11-08 06:00:15] Complate to parse - jejubloger_221134740983
[2017-11-08 06:00:15] Error - Already exists document
[2017-11-08 06:00:15] Complate to parse - lovingssu_221134725034
[2017-11-08 06:00:15] Error - Already exists document
[2017-11-08 06:00:15] Click the page - 4page
[2017-11-08 06:00:17] Complate to parse - aejbaby_221134965258
[2017-11-08 06:00:17] Error - Already exists document
[2017-11-08 06:00:17] Complate to parse - natur_herz_221134955234
[2017-11-08 06:00:17] Error - Already exists document
[2017-11-08 06:00:18] Complate to parse - titicoca_221134953670
[2017-11-08 06:00:18] Error - Already exists document
[2017-11-08 06:00:18] Complate to parse - tofl3107_221134912739
[2017-11-08 06:00:18] Error - Already exists document
[2017-11-08 06:00:18] Complate to parse - giyoung0901_221134806686
[2017-11-08 06:00:18] Error - Already exists document
[2017-11-08 06:00:18] Complate to parse - jongsulim_221134725949
[2017-11-08 06:00:18] Error - Already exists document
[2017-11-08 06:00:18] Complate to parse - chaein9885_221134934487
[2017-11-08 06:00:18] Error - Already exists document
[2017-11-08 06:00:18] Complate to parse - hyeon10108_221134860492
[2017-11-08 06:00:18] Error - Already exists document
[2017-11-08 06:00:19] Complate to parse - gy00ny_221134732964
[2017-11-08 06:00:19] Error - Already exists document
[2017-11-08 06:00:19] Complate to parse - joolp00_221134711000
[2017-11-08 06:00:19] Error - Already exists document
[2017-11-08 06:00:19] Click the page - 5page
[2017-11-08 06:00:21] Complate to parse - salee7908_221134918390
[2017-11-08 06:00:21] Error - Already exists document
[2017-11-08 06:00:21] Complate to parse - goofysms2_221134824038
[2017-11-08 06:00:21] Error - Already exists document
[2017-11-08 06:00:21] Complate to parse - dropy_221134805156
[2017-11-08 06:00:21] Error - Already exists document
[2017-11-08 06:00:22] Complate to parse - woo_planet_221134852609
[2017-11-08 06:00:22] Error - Already exists document
[2017-11-08 06:00:22] Complate to parse - risapa_221134948072
[2017-11-08 06:00:22] Error - Already exists document
[2017-11-08 06:00:22] Complate to parse - 3000km_221134920383
[2017-11-08 06:00:22] Error - Already exists document
[2017-11-08 06:00:23] Complate to parse - koolhaas75_221134814117
[2017-11-08 06:00:23] Error - Already exists document
[2017-11-08 06:00:23] Complate to parse - shensubin_221134788218
[2017-11-08 06:00:23] Error - Already exists document
[2017-11-08 06:00:23] Complate to parse - shinhye1014_221134741394
[2017-11-08 06:00:23] Error - Already exists document
[2017-11-08 06:00:23] Complate to parse - jjangrafting_221134718526
[2017-11-08 06:00:23] Error - Already exists document
[2017-11-08 06:00:23] Click the page - 6page
[2017-11-08 06:00:25] Complate to parse - snslive_221127206021
[2017-11-08 06:00:25] Error - Already exists document
[2017-11-08 06:00:25] Complate to parse - tjdan6161_221134923443
[2017-11-08 06:00:25] Error - Already exists document
[2017-11-08 06:00:25] Complate to parse - komyou07_221134919859
[2017-11-08 06:00:25] Error - Already exists document
[2017-11-08 06:00:26] Complate to parse - im7769_221134872861
[2017-11-08 06:00:26] Error - Already exists document
[2017-11-08 06:00:26] Complate to parse - hongwind323_221134818190
[2017-11-08 06:00:26] Error - Already exists document
[2017-11-08 06:00:26] Complate to parse - kidari0727_221134793567
[2017-11-08 06:00:26] Error - Already exists document
[2017-11-08 06:00:26] Complate to parse - daeguvisit_221134593935
[2017-11-08 06:00:26] Error - Already exists document
[2017-11-08 06:00:26] Complate to parse - eunink_221134738867
[2017-11-08 06:00:26] Error - Already exists document
[2017-11-08 06:00:26] Complate to parse - yejee0620_221135025672
[2017-11-08 06:00:26] Error - Already exists document
[2017-11-08 06:00:27] Complate to parse - consockorea_221134966480
[2017-11-08 06:00:27] Error - Already exists document
[2017-11-08 06:00:27] Click the page - 7page
[2017-11-08 06:00:28] Complate to parse - gongju7000_221134959743
[2017-11-08 06:00:28] Error - Already exists document
[2017-11-08 06:00:29] Complate to parse - katarina1213_221134949965
[2017-11-08 06:00:29] Error - Already exists document
[2017-11-08 06:00:29] Complate to parse - 7lovei_221134938396
[2017-11-08 06:00:29] Error - Already exists document
