[2017-11-04 15:00:01] Scraping start
[2017-11-04 15:00:01] Connected Elasticsearch server
[2017-11-04 15:00:02] Opened PhantomJS webdriver
[2017-11-04 15:00:03] Complete to bring blogs seed page
[2017-11-04 15:00:04] Complete to move to travel category
[2017-11-04 15:00:04] Complete to move to domestic travel page
[2017-11-04 15:00:04] Start to parse each posts
[2017-11-04 15:00:04] Click the page - 1page
[2017-11-04 15:00:06] Complate to parse - anndam_221132135561
[2017-11-04 15:00:06] Error - Already exists document
[2017-11-04 15:00:06] Complate to parse - 0114977635_221132289202
[2017-11-04 15:00:06] Error - Already exists document
[2017-11-04 15:00:07] Complate to parse - daichung_221132360538
[2017-11-04 15:00:07] Error - Already exists document
[2017-11-04 15:00:07] Complate to parse - turpu_221132270938
[2017-11-04 15:00:07] Error - Already exists document
[2017-11-04 15:00:07] Complate to parse - 8302yang_221132263298
[2017-11-04 15:00:07] Error - Already exists document
[2017-11-04 15:00:07] Complate to parse - koreamoringa_221132300803
[2017-11-04 15:00:07] Error - Already exists document
[2017-11-04 15:00:08] Complate to parse - deux300_221123641532
[2017-11-04 15:00:08] Error - Already exists document
[2017-11-04 15:00:08] Complate to parse - toga33_221129793862
[2017-11-04 15:00:08] Error - Already exists document
[2017-11-04 15:00:08] Complate to parse - babo0547_221132345839
[2017-11-04 15:00:08] Error - Already exists document
[2017-11-04 15:00:08] Complate to parse - jcjkks_221127488959
[2017-11-04 15:00:08] Error - Already exists document
[2017-11-04 15:00:08] Click the page - 2page
[2017-11-04 15:00:10] Complate to parse - babtol2000_221132295216
[2017-11-04 15:00:10] Error - Already exists document
[2017-11-04 15:00:10] Complate to parse - bolikeme_221131318828
[2017-11-04 15:00:10] Error - Already exists document
[2017-11-04 15:00:10] Complate to parse - kji206_221132088765
[2017-11-04 15:00:10] Error - Already exists document
[2017-11-04 15:00:11] Complate to parse - sseotaiji_221132255438
[2017-11-04 15:00:11] Error - Already exists document
[2017-11-04 15:00:11] Complate to parse - sky047000_221132254423
[2017-11-04 15:00:11] Error - Already exists document
[2017-11-04 15:00:11] Complate to parse - alfyoun_221131768985
[2017-11-04 15:00:11] Error - Already exists document
[2017-11-04 15:00:11] Complate to parse - mjda20_221132246005
[2017-11-04 15:00:11] Error - Already exists document
[2017-11-04 15:00:11] Complate to parse - junjuly4_221132365926
[2017-11-04 15:00:11] Error - Already exists document
[2017-11-04 15:00:12] Complate to parse - hanarin0730_221132218936
[2017-11-04 15:00:12] Error - Already exists document
[2017-11-04 15:00:12] Complate to parse - kinogirl100_221132318995
[2017-11-04 15:00:12] Error - Already exists document
[2017-11-04 15:00:12] Click the page - 3page
[2017-11-04 15:00:14] Complate to parse - autopeed0050_221131739795
[2017-11-04 15:00:14] Error - Already exists document
[2017-11-04 15:00:14] Complate to parse - mina860527_221132356748
[2017-11-04 15:00:14] Error - Already exists document
[2017-11-04 15:00:14] Complate to parse - kingcapper_221129417868
[2017-11-04 15:00:14] Error - Already exists document
[2017-11-04 15:00:14] Complate to parse - junhyuk_abba_221132300908
[2017-11-04 15:00:14] Error - Already exists document
[2017-11-04 15:00:15] Complate to parse - daesunjujo_221131771698
[2017-11-04 15:00:15] Error - Already exists document
[2017-11-04 15:00:15] Complate to parse - jhgeel_221132278470
[2017-11-04 15:00:15] Error - Already exists document
[2017-11-04 15:00:15] Complate to parse - qhadldhaus98_221132276228
[2017-11-04 15:00:15] Error - Already exists document
[2017-11-04 15:00:15] Complate to parse - suheeryu_221119236111
[2017-11-04 15:00:15] Error - Already exists document
[2017-11-04 15:00:15] Complate to parse - ttpp2002_221131019130
[2017-11-04 15:00:15] Error - Already exists document
[2017-11-04 15:00:15] Complate to parse - tastydish_221132261113
[2017-11-04 15:00:15] Error - Already exists document
[2017-11-04 15:00:15] Click the page - 4page
[2017-11-04 15:00:17] Complate to parse - tg0607_221131129437
[2017-11-04 15:00:17] Error - Already exists document
[2017-11-04 15:00:18] Complate to parse - you1620_221132054868
[2017-11-04 15:00:18] Error - Already exists document
[2017-11-04 15:00:18] Complate to parse - 1006hjy_221131407060
[2017-11-04 15:00:18] Error - Already exists document
[2017-11-04 15:00:18] Complate to parse - ichmount_221131593864
[2017-11-04 15:00:18] Error - Already exists document
[2017-11-04 15:00:18] Complate to parse - kby8478_221132042952
[2017-11-04 15:00:18] Error - Already exists document
[2017-11-04 15:00:18] Complate to parse - sirenj2813_221132342317
[2017-11-04 15:00:18] Error - Already exists document
[2017-11-04 15:00:19] Complate to parse - dingdong1233_221132307059
[2017-11-04 15:00:19] Error - Already exists document
[2017-11-04 15:00:19] Complate to parse - hwangyul9178_221130594806
[2017-11-04 15:00:19] Error - Already exists document
[2017-11-04 15:00:19] Complate to parse - lyu1388_221131214058
[2017-11-04 15:00:19] Error - Already exists document
[2017-11-04 15:00:19] Complate to parse - tjfcnzkcnzk_221131347013
[2017-11-04 15:00:19] Error - Already exists document
[2017-11-04 15:00:19] Click the page - 5page
[2017-11-04 15:00:21] Complate to parse - mss2mking_221132250946
[2017-11-04 15:00:21] Error - Already exists document
[2017-11-04 15:00:21] Complate to parse - hp0210_221132051892
[2017-11-04 15:00:21] Error - Already exists document
[2017-11-04 15:00:21] Complate to parse - kuj681_221131427381
[2017-11-04 15:00:21] Error - Already exists document
[2017-11-04 15:00:22] Complate to parse - oblove3_221132404420
[2017-11-04 15:00:22] Complate to percolate - oblove3_221132404420
[2017-11-04 15:00:22] Complate to parse - lovelyhoya07_221132183125
[2017-11-04 15:00:22] Error - Already exists document
[2017-11-04 15:00:22] Complate to parse - namhaestorys_221132270932
[2017-11-04 15:00:22] Error - Already exists document
[2017-11-04 15:00:22] Complate to parse - bk85219_221129736180
[2017-11-04 15:00:22] Error - Already exists document
[2017-11-04 15:00:23] Complate to parse - agant5548_221132161439
[2017-11-04 15:00:23] Error - Already exists document
[2017-11-04 15:00:23] Complate to parse - dropy_221132327234
[2017-11-04 15:00:23] Error - Already exists document
[2017-11-04 15:00:23] Complate to parse - yko53_221132248498
[2017-11-04 15:00:23] Error - Already exists document
[2017-11-04 15:00:23] Click the page - 6page
[2017-11-04 15:00:25] Complate to parse - hhocho65_221131410506
[2017-11-04 15:00:25] Error - Already exists document
[2017-11-04 15:00:25] Complate to parse - brain7455_221132259411
[2017-11-04 15:00:25] Error - Already exists document
[2017-11-04 15:00:25] Complate to parse - jhn6676_221132208782
[2017-11-04 15:00:25] Error - Already exists document
[2017-11-04 15:00:25] Complate to parse - kcgcg92_221131377528
[2017-11-04 15:00:25] Error - Already exists document
[2017-11-04 15:00:26] Complate to parse - naemoya_221132318740
[2017-11-04 15:00:26] Error - Already exists document
[2017-11-04 15:00:26] Complate to parse - dental3838_221132304840
[2017-11-04 15:00:26] Error - Already exists document
[2017-11-04 15:00:26] Complate to parse - sjmcdib1_221132292890
[2017-11-04 15:00:26] Error - Already exists document
[2017-11-04 15:00:26] Complate to parse - so_happy_sb_221132280710
[2017-11-04 15:00:26] Error - Already exists document
