[2017-11-08 07:00:01] Scraping start
[2017-11-08 07:00:01] Connected Elasticsearch server
[2017-11-08 07:00:02] Opened PhantomJS webdriver
[2017-11-08 07:00:07] Complete to bring blogs seed page
[2017-11-08 07:00:08] Complete to move to travel category
[2017-11-08 07:00:09] Complete to move to domestic travel page
[2017-11-08 07:00:09] Start to parse each posts
[2017-11-08 07:00:09] Click the page - 1page
[2017-11-08 07:00:10] Complate to parse - qnfjqekqnfjdnj_221134840496
[2017-11-08 07:00:10] Error - Already exists document
[2017-11-08 07:00:11] Complate to parse - oblove3_221134869690
[2017-11-08 07:00:11] Error - Already exists document
[2017-11-08 07:00:11] Complate to parse - ybg_baram_221134893090
[2017-11-08 07:00:11] Error - Already exists document
[2017-11-08 07:00:11] Complate to parse - bmcg1_221134754848
[2017-11-08 07:00:11] Error - Already exists document
[2017-11-08 07:00:11] Complate to parse - aurtkfwkqdl_221134826385
[2017-11-08 07:00:11] Error - Already exists document
[2017-11-08 07:00:12] Complate to parse - hexeph_221134772305
[2017-11-08 07:00:12] Error - Already exists document
[2017-11-08 07:00:12] Complate to parse - dptmfdl3135_221134984334
[2017-11-08 07:00:12] Error - Already exists document
[2017-11-08 07:00:12] Complate to parse - dailytalk_hy_221134956249
[2017-11-08 07:00:12] Error - Already exists document
[2017-11-08 07:00:12] Complate to parse - lovtrout_221134859816
[2017-11-08 07:00:12] Error - Already exists document
[2017-11-08 07:00:12] Complate to parse - kissi3oy_221134779374
[2017-11-08 07:00:12] Error - Already exists document
[2017-11-08 07:00:12] Click the page - 2page
[2017-11-08 07:00:14] Complate to parse - cyberbinpol_221134776563
[2017-11-08 07:00:14] Error - Already exists document
[2017-11-08 07:00:14] Complate to parse - trueka20_221134914945
[2017-11-08 07:00:14] Error - Already exists document
[2017-11-08 07:00:15] Complate to parse - canvaslab_221134793927
[2017-11-08 07:00:15] Error - Already exists document
[2017-11-08 07:00:15] Complate to parse - juomsook21_221135011966
[2017-11-08 07:00:15] Error - Already exists document
[2017-11-08 07:00:15] Complate to parse - 2_eunjee_221134937709
[2017-11-08 07:00:15] Error - Already exists document
[2017-11-08 07:00:15] Complate to parse - chaein9885_221134934487
[2017-11-08 07:00:15] Error - Already exists document
[2017-11-08 07:00:15] Complate to parse - candyra9_221134922238
[2017-11-08 07:00:15] Error - Already exists document
[2017-11-08 07:00:16] Complate to parse - sinymi77_221134918841
[2017-11-08 07:00:16] Error - Already exists document
[2017-11-08 07:00:16] Complate to parse - ailee06_221134913628
[2017-11-08 07:00:16] Error - Already exists document
[2017-11-08 07:00:16] Complate to parse - you1620_221134810134
[2017-11-08 07:00:16] Error - Already exists document
[2017-11-08 07:00:16] Click the page - 3page
[2017-11-08 07:00:18] Complate to parse - woo4132_221134798646
[2017-11-08 07:00:18] Error - Already exists document
[2017-11-08 07:00:18] Complate to parse - congcookin_221134779975
[2017-11-08 07:00:18] Error - Already exists document
[2017-11-08 07:00:18] Complate to parse - aejbaby_221134965258
[2017-11-08 07:00:18] Error - Already exists document
[2017-11-08 07:00:18] Complate to parse - natur_herz_221134955234
[2017-11-08 07:00:18] Error - Already exists document
[2017-11-08 07:00:19] Complate to parse - titicoca_221134953670
[2017-11-08 07:00:19] Error - Already exists document
[2017-11-08 07:00:19] Complate to parse - tofl3107_221134912739
[2017-11-08 07:00:19] Error - Already exists document
[2017-11-08 07:00:19] Complate to parse - giyoung0901_221134806686
[2017-11-08 07:00:19] Error - Already exists document
[2017-11-08 07:00:19] Complate to parse - rockyu205_221124158432
[2017-11-08 07:00:19] Error - Already exists document
[2017-11-08 07:00:19] Complate to parse - hyeon10108_221134860492
[2017-11-08 07:00:19] Error - Already exists document
[2017-11-08 07:00:20] Complate to parse - songsdang_221134979136
[2017-11-08 07:00:20] Error - Already exists document
[2017-11-08 07:00:20] Click the page - 4page
[2017-11-08 07:00:21] Complate to parse - salee7908_221134918390
[2017-11-08 07:00:21] Error - Already exists document
[2017-11-08 07:00:22] Complate to parse - goofysms2_221134824038
[2017-11-08 07:00:22] Error - Already exists document
[2017-11-08 07:00:22] Complate to parse - dropy_221134805156
[2017-11-08 07:00:22] Error - Already exists document
[2017-11-08 07:00:22] Complate to parse - gongju7000_221134959743
[2017-11-08 07:00:22] Error - Already exists document
[2017-11-08 07:00:22] Complate to parse - woo_planet_221134852609
[2017-11-08 07:00:22] Error - Already exists document
[2017-11-08 07:00:22] Complate to parse - risapa_221134948072
[2017-11-08 07:00:22] Error - Already exists document
[2017-11-08 07:00:22] Complate to parse - 3000km_221134920383
[2017-11-08 07:00:22] Error - Already exists document
[2017-11-08 07:00:23] Complate to parse - koolhaas75_221134814117
[2017-11-08 07:00:23] Error - Already exists document
[2017-11-08 07:00:23] Complate to parse - shensubin_221134788218
[2017-11-08 07:00:23] Error - Already exists document
[2017-11-08 07:00:24] Complate to parse - snslive_221127206021
[2017-11-08 07:00:24] Error - Already exists document
[2017-11-08 07:00:24] Click the page - 5page
[2017-11-08 07:00:25] Complate to parse - goppaba_221134957875
[2017-11-08 07:00:25] Error - Already exists document
[2017-11-08 07:00:26] Complate to parse - tjdan6161_221134923443
[2017-11-08 07:00:26] Error - Already exists document
[2017-11-08 07:00:26] Complate to parse - komyou07_221134919859
[2017-11-08 07:00:26] Error - Already exists document
[2017-11-08 07:00:26] Complate to parse - im7769_221134872861
[2017-11-08 07:00:26] Error - Already exists document
[2017-11-08 07:00:26] Complate to parse - hongwind323_221134818190
[2017-11-08 07:00:26] Error - Already exists document
[2017-11-08 07:00:26] Complate to parse - kidari0727_221134793567
[2017-11-08 07:00:26] Error - Already exists document
[2017-11-08 07:00:27] Complate to parse - yejee0620_221135025672
[2017-11-08 07:00:27] Error - Already exists document
[2017-11-08 07:00:27] Complate to parse - consockorea_221134966480
[2017-11-08 07:00:27] Error - Already exists document
[2017-11-08 07:00:27] Complate to parse - jejurangjhrang_221134805692
[2017-11-08 07:00:27] Error - Already exists document
[2017-11-08 07:00:27] Complate to parse - katarina1213_221134949965
[2017-11-08 07:00:27] Error - Already exists document
[2017-11-08 07:00:27] Click the page - 6page
[2017-11-08 07:00:29] Complate to parse - 7wayjeju_221134949560
[2017-11-08 07:00:29] Error - Already exists document
[2017-11-08 07:00:29] Complate to parse - 7lovei_221134938396
[2017-11-08 07:00:29] Error - Already exists document
[2017-11-08 07:00:29] Complate to parse - iamromy_221134897818
[2017-11-08 07:00:29] Error - Already exists document
[2017-11-08 07:00:30] Complate to parse - koaiko86_221134892390
[2017-11-08 07:00:30] Error - Already exists document
[2017-11-08 07:00:30] Complate to parse - oliverbh_221134871387
[2017-11-08 07:00:30] Error - Already exists document
[2017-11-08 07:00:30] Complate to parse - palm365_221134868151
[2017-11-08 07:00:30] Error - Already exists document
[2017-11-08 07:00:30] Complate to parse - kimky605_221134849707
[2017-11-08 07:00:30] Error - Already exists document
[2017-11-08 07:00:30] Complate to parse - tnvlfwjd_221134782611
[2017-11-08 07:00:30] Error - Already exists document
[2017-11-08 07:00:31] Complate to parse - jeju3377_221135042352
[2017-11-08 07:00:31] Error - Already exists document
[2017-11-08 07:00:31] Complate to parse - jmkida282_221134982348
[2017-11-08 07:00:31] Error - Already exists document
[2017-11-08 07:00:31] Click the page - 7page
[2017-11-08 07:00:33] Complate to parse - choichokk_221133294178
[2017-11-08 07:00:33] Error - Already exists document
[2017-11-08 07:00:33] Complate to parse - emmastar_221134915293
[2017-11-08 07:00:33] Error - Already exists document
[2017-11-08 07:00:33] Complate to parse - 1000salang_221134822738
[2017-11-08 07:00:33] Error - Already exists document
[2017-11-08 07:00:33] Complate to parse - qara66_221134880971
[2017-11-08 07:00:33] Error - Already exists document
[2017-11-08 07:00:33] Complate to parse - nkero77_221134878425
[2017-11-08 07:00:33] Error - Already exists document
[2017-11-08 07:00:34] Complate to parse - hakppp_221134828633
[2017-11-08 07:00:34] Error - Already exists document
[2017-11-08 07:00:34] Complate to parse - sugidanji_221134814619
[2017-11-08 07:00:34] Error - Already exists document
[2017-11-08 07:00:34] Complate to parse - sjhe8808_221134811063
[2017-11-08 07:00:34] Error - Already exists document
[2017-11-08 07:00:34] Complate to parse - 333goo_221134798135
[2017-11-08 07:00:34] Error - Already exists document
[2017-11-08 07:00:34] Complate to parse - suna27_221134642580
[2017-11-08 07:00:34] Error - Already exists document
[2017-11-08 07:00:34] Click the page - 8page
[2017-11-08 07:00:36] Complate to parse - dahalife_221135006840
[2017-11-08 07:00:36] Error - Already exists document
[2017-11-08 07:00:36] Complate to parse - pink_latte_221134991836
[2017-11-08 07:00:36] Error - Already exists document
[2017-11-08 07:00:37] Complate to parse - jihey119_221134986623
[2017-11-08 07:00:37] Error - Already exists document
