[2017-11-07 06:00:02] Scraping start
[2017-11-07 06:00:02] Connected Elasticsearch server
[2017-11-07 06:00:03] Opened PhantomJS webdriver
[2017-11-07 06:00:03] Complete to bring blogs seed page
[2017-11-07 06:00:04] Complete to move to travel category
[2017-11-07 06:00:05] Complete to move to domestic travel page
[2017-11-07 06:00:05] Start to parse each posts
[2017-11-07 06:00:05] Click the page - 1page
[2017-11-07 06:00:07] Complate to parse - natur_herz_221134043022
[2017-11-07 06:00:07] Error - Already exists document
[2017-11-07 06:00:07] Complate to parse - suya6904_221133958059
[2017-11-07 06:00:07] Error - Already exists document
[2017-11-07 06:00:07] Complate to parse - cute_bbotty_221134045019
[2017-11-07 06:00:07] Error - Already exists document
[2017-11-07 06:00:08] Complate to parse - ghostmom212_221133987745
[2017-11-07 06:00:08] Error - Already exists document
[2017-11-07 06:00:08] Complate to parse - gusalsp464_221134022658
[2017-11-07 06:00:08] Error - Already exists document
[2017-11-07 06:00:08] Complate to parse - gomsolvie_221133881052
[2017-11-07 06:00:08] Error - Already exists document
[2017-11-07 06:00:08] Complate to parse - aurora9106_221134025110
[2017-11-07 06:00:08] Error - Already exists document
[2017-11-07 06:00:09] Complate to parse - al_satang_221134164477
[2017-11-07 06:00:09] Error - Already exists document
[2017-11-07 06:00:09] Complate to parse - sunny013364_221134149444
[2017-11-07 06:00:09] Error - Already exists document
[2017-11-07 06:00:09] Complate to parse - aksgek7_221134029426
[2017-11-07 06:00:09] Error - Already exists document
[2017-11-07 06:00:09] Click the page - 2page
[2017-11-07 06:00:11] Complate to parse - accaee_221133989891
[2017-11-07 06:00:11] Error - Already exists document
[2017-11-07 06:00:11] Complate to parse - maisonsondemul_221133901115
[2017-11-07 06:00:11] Error - Already exists document
[2017-11-07 06:00:12] Complate to parse - wwwon2_221133872525
[2017-11-07 06:00:12] Error - Already exists document
[2017-11-07 06:00:12] Complate to parse - lastkycool_221133511892
[2017-11-07 06:00:12] Error - Already exists document
[2017-11-07 06:00:12] Complate to parse - sun751213_221134061654
[2017-11-07 06:00:12] Error - Already exists document
[2017-11-07 06:00:12] Complate to parse - hp0210_221134025430
[2017-11-07 06:00:12] Error - Already exists document
[2017-11-07 06:00:13] Complate to parse - cscom1890_221133982335
[2017-11-07 06:00:13] Error - Already exists document
[2017-11-07 06:00:13] Complate to parse - sg83love_221133975555
[2017-11-07 06:00:13] Error - Already exists document
[2017-11-07 06:00:13] Complate to parse - ssangssangsi_221133920511
[2017-11-07 06:00:13] Error - Already exists document
[2017-11-07 06:00:13] Complate to parse - you1620_221133163210
[2017-11-07 06:00:13] Error - Already exists document
[2017-11-07 06:00:13] Click the page - 3page
[2017-11-07 06:00:15] Complate to parse - oblove3_221134010658
[2017-11-07 06:00:15] Error - Already exists document
[2017-11-07 06:00:15] Complate to parse - risapa_221134112647
[2017-11-07 06:00:15] Error - Already exists document
[2017-11-07 06:00:16] Complate to parse - pjq000_221134091901
[2017-11-07 06:00:16] Error - Already exists document
[2017-11-07 06:00:16] Complate to parse - dasan_books_221133970929
[2017-11-07 06:00:16] Error - Already exists document
[2017-11-07 06:00:16] Complate to parse - 333goo_221133921998
[2017-11-07 06:00:16] Error - Already exists document
[2017-11-07 06:00:16] Complate to parse - hanarin0730_221133898690
[2017-11-07 06:00:16] Error - Already exists document
