[2017-11-07 21:00:01] Scraping start
[2017-11-07 21:00:01] Connected Elasticsearch server
[2017-11-07 21:00:02] Opened PhantomJS webdriver
[2017-11-07 21:00:03] Complete to bring blogs seed page
[2017-11-07 21:00:03] Complete to move to travel category
[2017-11-07 21:00:04] Complete to move to domestic travel page
[2017-11-07 21:00:06] Start to parse each posts
[2017-11-07 21:00:06] Click the page - 1page
[2017-11-07 21:00:08] Complate to parse - scpark1214_221134743522
[2017-11-07 21:00:08] Error - Already exists document
[2017-11-07 21:00:08] Complate to parse - 8302yang_221134421261
[2017-11-07 21:00:08] Error - Already exists document
[2017-11-07 21:00:08] Complate to parse - bnbk00_221134417354
[2017-11-07 21:00:08] Error - Already exists document
[2017-11-07 21:00:09] Complate to parse - dewdoll_221134341848
[2017-11-07 21:00:09] Error - Already exists document
[2017-11-07 21:00:09] Complate to parse - pss2317_221134549909
[2017-11-07 21:00:09] Error - Already exists document
[2017-11-07 21:00:09] Complate to parse - soso7869_221134279713
[2017-11-07 21:00:09] Error - Already exists document
[2017-11-07 21:00:09] Complate to parse - coooca_221134535824
[2017-11-07 21:00:09] Error - Already exists document
[2017-11-07 21:00:10] Complate to parse - hwa202_221134502258
[2017-11-07 21:00:10] Error - Already exists document
[2017-11-07 21:00:10] Complate to parse - daeguvisit_221133788080
[2017-11-07 21:00:10] Error - Already exists document
[2017-11-07 21:00:10] Complate to parse - ksb115205_221134649828
[2017-11-07 21:00:10] Error - Already exists document
[2017-11-07 21:00:10] Click the page - 2page
[2017-11-07 21:00:12] Complate to parse - sopoongjeju_221134631318
[2017-11-07 21:00:12] Error - Already exists document
[2017-11-07 21:00:12] Complate to parse - tazan00009_221134529284
[2017-11-07 21:00:12] Error - Already exists document
[2017-11-07 21:00:12] Complate to parse - bling0430_221134552794
[2017-11-07 21:00:12] Error - Already exists document
[2017-11-07 21:00:13] Complate to parse - 00starhyunju_221134454419
[2017-11-07 21:00:13] Error - Already exists document
[2017-11-07 21:00:13] Complate to parse - hjufa_221134399942
[2017-11-07 21:00:13] Error - Already exists document
[2017-11-07 21:00:13] Complate to parse - vitamintrees_221134287223
[2017-11-07 21:00:13] Error - Already exists document
[2017-11-07 21:00:13] Complate to parse - kimcoco1_221134276906
[2017-11-07 21:00:13] Error - Already exists document
[2017-11-07 21:00:13] Complate to parse - joolp00_221134340761
[2017-11-07 21:00:13] Error - Already exists document
[2017-11-07 21:00:14] Complate to parse - bmcg1_221134754848
[2017-11-07 21:00:14] Error - Already exists document
[2017-11-07 21:00:14] Complate to parse - choikoil_221134750804
[2017-11-07 21:00:14] Error - Already exists document
[2017-11-07 21:00:14] Click the page - 3page
[2017-11-07 21:00:16] Complate to parse - newgisadan_221134575856
[2017-11-07 21:00:16] Error - Already exists document
